scheme,parameter_set,sampler_family,implementation,batch_size,q,draw_bits,power_of_two_ceiling,expected_acceptance,measured_acceptance,expected_attempts,measured_attempts,expected_random_bits,measured_random_bits,measured_random_bytes
Falcon,falcon,original-cdt,original-cdt-avx2,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,72.000000000,9.000000000
Falcon,falcon,original-cdt,original-cdt-avx2,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,72.000000000,9.000000000
Falcon,falcon,original-cdt,original-cdt-ref,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,72.000000000,9.000000000
Falcon,falcon,original-cdt,original-cdt-ref,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,72.000000000,9.000000000
Falcon,falcon,sda-cdt,sda-cdt-avx2,1,see online manifest,see online manifest,see online manifest,0.994350763,0.995522379,1.005681332,1.004500000,,72.324000000,9.040500000
Falcon,falcon,sda-cdt,sda-cdt-avx2,8,see online manifest,see online manifest,see online manifest,0.994350763,0.995522379,1.005681332,1.004500000,,72.324000000,9.040500000
Falcon,falcon,sda-cdt,sda-cdt-ref,1,see online manifest,see online manifest,see online manifest,0.994350763,0.995522379,1.005681332,1.004500000,,72.324000000,9.040500000
Falcon,falcon,sda-cdt,sda-cdt-ref,8,see online manifest,see online manifest,see online manifest,0.994350763,0.995522379,1.005681332,1.004500000,,72.324000000,9.040500000
Frodo,frodo1344,original-cdt,original-cdt-avx2,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo1344,original-cdt,original-cdt-avx2,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo1344,original-cdt,original-cdt-ref,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo1344,original-cdt,original-cdt-ref,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo1344,sda-cdt,sda-cdt-avx2,1,see online manifest,see online manifest,see online manifest,0.796875000,0.800648724,1.254901961,1.249000000,,8.743000000,1.249000000
Frodo,frodo1344,sda-cdt,sda-cdt-avx2,8,see online manifest,see online manifest,see online manifest,0.796875000,0.800648724,1.254901961,1.249000000,,8.743000000,1.249000000
Frodo,frodo1344,sda-cdt,sda-cdt-ref,1,see online manifest,see online manifest,see online manifest,0.796875000,0.800648724,1.254901961,1.249000000,,8.743000000,1.249000000
Frodo,frodo1344,sda-cdt,sda-cdt-ref,8,see online manifest,see online manifest,see online manifest,0.796875000,0.800648724,1.254901961,1.249000000,,8.743000000,1.249000000
Frodo,frodo640,original-cdt,original-cdt-avx2,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo640,original-cdt,original-cdt-avx2,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo640,original-cdt,original-cdt-ref,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo640,original-cdt,original-cdt-ref,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo640,sda-cdt,sda-cdt-avx2,1,see online manifest,see online manifest,see online manifest,0.887084961,0.884585289,1.127287739,1.130500000,,15.827000000,2.261000000
Frodo,frodo640,sda-cdt,sda-cdt-avx2,8,see online manifest,see online manifest,see online manifest,0.887084961,0.884585289,1.127287739,1.130500000,,15.827000000,2.261000000
Frodo,frodo640,sda-cdt,sda-cdt-ref,1,see online manifest,see online manifest,see online manifest,0.887084961,0.884585289,1.127287739,1.130500000,,15.827000000,2.261000000
Frodo,frodo640,sda-cdt,sda-cdt-ref,8,see online manifest,see online manifest,see online manifest,0.887084961,0.884585289,1.127287739,1.130500000,,15.827000000,2.261000000
Frodo,frodo976,original-cdt,original-cdt-avx2,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo976,original-cdt,original-cdt-avx2,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo976,original-cdt,original-cdt-ref,1,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo976,original-cdt,original-cdt-ref,8,see online manifest,see online manifest,see online manifest,1.000000000,1.000000000,1.000000000,1.000000000,,15.000000000,2.000000000
Frodo,frodo976,sda-cdt,sda-cdt-avx2,1,see online manifest,see online manifest,see online manifest,0.908447266,0.900090009,1.100779360,1.111000000,,14.443000000,2.222000000
Frodo,frodo976,sda-cdt,sda-cdt-avx2,8,see online manifest,see online manifest,see online manifest,0.908447266,0.900090009,1.100779360,1.111000000,,14.443000000,2.222000000
Frodo,frodo976,sda-cdt,sda-cdt-ref,1,see online manifest,see online manifest,see online manifest,0.908447266,0.900090009,1.100779360,1.111000000,,14.443000000,2.222000000
Frodo,frodo976,sda-cdt,sda-cdt-ref,8,see online manifest,see online manifest,see online manifest,0.908447266,0.900090009,1.100779360,1.111000000,,14.443000000,2.222000000
