index,cumulative_decimal,cumulative_hex,low64,high8
0,1688089643849203377618,0x5b82f32b32d770e5d2,9435933141634180562,91
1,3139785534017966423802,0xaa354703e4830bbefa,3839041487342649082,170
2,4063028638342437670977,0xdc41d96bb960101041,4744942126336315457,220
3,4497255595604358069435,0xf3cbf578b8878dfcbb,14696785692937026747,243
4,4648290656056111535154,0xfbfbfdcbfbcff81432,18157893555014079538,251
5,4687141374072656439094,0xfe1727462e04ff2736,1668379350430328630,254
6,4694531989580482698873,0xfe7db803d3b4795e79,9058994858256588409,254
7,4695571724073514581766,0xfe8c25e4d6f25c3f06,10098729351288471302,254
8,4695679898494254030047,0xfe8da634e6f4519cdf,10206903772027919583,254
9,4695688221630199730747,0xfe8dc3c6c00dc7923b,10215226907973620283,254
10,4695688695228005617474,0xfe8dc5757c22c40f42,10215700505779507010,254
11,4695688715157333790710,0xfe8dc5879c4b4acff6,10215720435107680246,254
12,4695688715777539727614,0xfe8dc5882cb27260fe,10215721055313617150,254
13,4695688715791813522880,0xfe8dc58830053b35c0,10215721069587412416,254
14,4695688715792056465265,0xfe8dc5883013b63771,10215721069830354801,254
15,4695688715792059523194,0xfe8dc5883013e4e07a,10215721069833412730,254
16,4695688715792059551659,0xfe8dc5883013e54fab,10215721069833441195,254
17,4695688715792059551855,0xfe8dc5883013e5506f,10215721069833441391,254
18,4695688715792059551856,0xfe8dc5883013e55070,10215721069833441392,254
