index,alpha_lower,alpha_upper,alpha_mid,cumulative_lower,cumulative_upper,support_mass,tail_mass,precision
0,0.35949777466551245429463454023818088537319238362222,0.35949777466551245429463454023818088537319238362222,0.35949777466551245429463454023818088537319238362222,0.35949777466551245429463454023818088537319238362222,0.35949777466551245429463454023818088537319238362222,1,8.0211644680010680041783534358749443361883219936608e-25,100
1,0.30915505222621935109761914609454126239269362548724,0.30915505222621935109761914609454126239269362548724,0.30915505222621935109761914609454126239269362548724,0.66865282689173180539225368633272214776588600910946,0.66865282689173180539225368633272214776588600910946,1,8.0211644680010680041783534358749443361883219936608e-25,100
2,0.19661505696055076199205529038187305670520369535738,0.19661505696055076199205529038187305670520369535738,0.19661505696055076199205529038187305670520369535738,0.86526788385228256738430897671459520447108970446683,0.86526788385228256738430897671459520447108970446683,1,8.0211644680010680041783534358749443361883219936608e-25,100
3,0.092473539781624099411782295394995513283183028984499,0.092473539781624099411782295394995513283183028984499,0.092473539781624099411782295394995513283183028984499,0.95774142363390666679609127210959071775427273345133,0.95774142363390666679609127210959071775427273345133,1,8.0211644680010680041783534358749443361883219936608e-25,100
4,0.032164623677844703192398119679199314082883746650135,0.032164623677844703192398119679199314082883746650135,0.032164623677844703192398119679199314082883746650135,0.98990604731175136998848939178879003183715648010147,0.98990604731175136998848939178879003183715648010147,1,8.0211644680010680041783534358749443361883219936608e-25,100
5,0.0082736996355584957284401687170572226266481633614037,0.0082736996355584957284401687170572226266481633614037,0.0082736996355584957284401687170572226266481633614037,0.99817974694730986571692956050584725446380464346287,0.99817974694730986571692956050584725446380464346287,1,8.0211644680010680041783534358749443361883219936608e-25,100
6,0.0015739151283539938119230437366144850111586684800502,0.0015739151283539938119230437366144850111586684800502,0.0015739151283539938119230437366144850111586684800502,0.99975366207566385952885260424246173947496331194292,0.99975366207566385952885260424246173947496331194292,1,8.0211644680010680041783534358749443361883219936608e-25,100
7,0.00022142321520060609901911385173113311578777495717149,0.00022142321520060609901911385173113311578777495717149,0.00022142321520060609901911385173113311578777495717149,0.99997508529086446562787171809419287259075108690009,0.99997508529086446562787171809419287259075108690009,1,8.0211644680010680041783534358749443361883219936608e-25,100
8,0.000023036965882267098326011988872591084553331903937485,0.000023036965882267098326011988872591084553331903937485,0.000023036965882267098326011988872591084553331903937485,0.99999812225674673272619773008306546367530441880403,0.99999812225674673272619773008306546367530441880403,1,8.0211644680010680041783534358749443361883219936608e-25,100
9,0.0000017725058983806105402602548963208149209650722312069,0.0000017725058983806105402602548963208149209650722312069,0.0000017725058983806105402602548963208149209650722312069,0.99999989476264511333673799033796178449022538387626,0.99999989476264511333673799033796178449022538387626,1,8.0211644680010680041783534358749443361883219936608e-25,100
10,0.00000010085800711064413019789130198460073883765149676023,0.00000010085800711064413019789130198460073883765149676023,0.00000010085800711064413019789130198460073883765149676023,0.99999999562065222398086818822926376909096422152776,0.99999999562065222398086818822926376909096422152776,1,8.0211644680010680041783534358749443361883219936608e-25,100
11,0.0000000042441757491742965039559128108938033360160083184240,0.0000000042441757491742965039559128108938033360160083184240,0.0000000042441757491742965039559128108938033360160083184240,0.99999999986482797315516469218517657998476755754377,0.99999999986482797315516469218517657998476755754377,1,8.0211644680010680041783534358749443361883219936608e-25,100
12,0.00000000013207986611595884843827909303508345816683222049843,0.00000000013207986611595884843827909303508345816683222049843,0.00000000013207986611595884843827909303508345816683222049843,0.99999999999690783927112354062345567301985101571060,0.99999999999690783927112354062345567301985101571060,1,8.0211644680010680041783534358749443361883219936608e-25,100
13,0.0000000000030397660768971032647344249398980008935438904807348,0.0000000000030397660768971032647344249398980008935438904807348,0.0000000000030397660768971032647344249398980008935438904807348,0.99999999999994760534802064388819009795974901660414,0.99999999999994760534802064388819009795974901660414,1,8.0211644680010680041783534358749443361883219936608e-25,100
14,0.000000000000051737327525082374925587473244743970209962038676065,0.000000000000051737327525082374925587473244743970209962038676065,0.000000000000051737327525082374925587473244743970209962038676065,0.99999999999999934267554572626311568543299376057435,0.99999999999999934267554572626311568543299376057435,1,8.0211644680010680041783534358749443361883219936608e-25,100
15,6.5122055891912979558154728765007822358393317917203e-16,6.5122055891912979558154728765007822358393317917203e-16,6.5122055891912979558154728765007822358393317917203e-16,0.99999999999999999389610464539291126698028141065258,0.99999999999999999389610464539291126698028141065258,1,8.0211644680010680041783534358749443361883219936608e-25,100
16,6.0619520572838961843859034178020458506852237851219e-18,6.0619520572838961843859034178020458506852237851219e-18,6.0619520572838961843859034178020458506852237851219e-18,0.99999999999999999995805670267680745136618482845462,0.99999999999999999995805670267680745136618482845462,1,8.0211644680010680041783534358749443361883219936608e-25,100
17,4.1730844680775427988609967338989180423184659692757e-20,4.1730844680775427988609967338989180423184659692757e-20,4.1730844680775427988609967338989180423184659692757e-20,0.99999999999999999999978754735758287935479479579361,0.99999999999999999999978754735758287935479479579361,1,8.0211644680010680041783534358749443361883219936608e-25,100
18,2.1245264241712064520520420638694899168658497838278e-22,2.1245264241712064520520420638694899168658497838278e-22,2.1245264241712064520520420638694899168658497838278e-22,1.0000000000000000000000000000000000000000000000000,1.0000000000000000000000000000000000000000000000000,1,8.0211644680010680041783534358749443361883219936608e-25,100
