parameter_set,epsilon_left,epsilon_right,q_left,q_right,transition_detected,refinement_level,transition_status
frodo640,0.40000000000000002,0.41338655464046509,32664,32664,false,0,observed-stable
frodo640,0.41338655464046509,0.42722110889378551,32664,32664,false,0,observed-stable
frodo640,0.42722110889378551,0.44151865568820237,32664,8536,true,0,observed-transition
frodo640,0.44151865568820237,0.45629468971108933,8536,8536,false,0,observed-stable
frodo640,0.45629468971108933,0.47156522420101821,8536,8536,false,0,observed-stable
frodo640,0.47156522420101821,0.48734680830179339,8536,1,true,0,observed-transition
frodo640,0.48734680830179339,0.50365654499726398,1,1,false,0,observed-stable
frodo640,0.50365654499726398,0.52051210964634831,1,1,false,0,observed-stable
frodo640,0.52051210964634831,0.53793176913835972,1,1,false,0,observed-stable
frodo640,0.53793176913835972,0.55593440168939146,1,1,false,0,observed-stable
frodo640,0.55593440168939146,0.57453951730121466,1,1,false,0,observed-stable
frodo640,0.57453951730121466,0.59376727890486247,1,1,false,0,observed-stable
frodo640,0.59376727890486247,0.61363852421181297,1,1,false,0,observed-stable
frodo640,0.61363852421181297,0.63417478829645235,1,1,false,0,observed-stable
frodo640,0.63417478829645235,0.65539832693429201,1,1,false,0,observed-stable
frodo640,0.65539832693429201,0.67733214072123016,1,1,false,0,observed-stable
frodo640,0.67733214072123016,0.69999999999999996,1,1,false,0,observed-stable
frodo976,0.40000000000000002,0.41338655464046509,5966,5966,false,0,observed-stable
frodo976,0.41338655464046509,0.42722110889378551,5966,1229,true,0,observed-transition
frodo976,0.42722110889378551,0.44151865568820237,1229,1229,false,0,observed-stable
frodo976,0.44151865568820237,0.45629468971108933,1229,1229,false,0,observed-stable
frodo976,0.45629468971108933,0.47156522420101821,1229,1229,false,0,observed-stable
frodo976,0.47156522420101821,0.48734680830179339,1229,1229,false,0,observed-stable
frodo976,0.48734680830179339,0.50365654499726398,1229,278,true,0,observed-transition
frodo976,0.50365654499726398,0.52051210964634831,278,278,false,0,observed-stable
frodo976,0.52051210964634831,0.53793176913835972,278,278,false,0,observed-stable
frodo976,0.53793176913835972,0.55593440168939146,278,278,false,0,observed-stable
frodo976,0.55593440168939146,0.57453951730121466,278,88,true,0,observed-transition
frodo976,0.57453951730121466,0.59376727890486247,88,88,false,0,observed-stable
frodo976,0.59376727890486247,0.61363852421181297,88,88,false,0,observed-stable
frodo976,0.61363852421181297,0.63417478829645235,88,1,true,0,observed-transition
frodo976,0.63417478829645235,0.65539832693429201,1,1,false,0,observed-stable
frodo976,0.65539832693429201,0.67733214072123016,1,1,false,0,observed-stable
frodo976,0.67733214072123016,0.69999999999999996,1,1,false,0,observed-stable
frodo1344,0.40000000000000002,0.41338655464046509,102,102,false,0,observed-stable
frodo1344,0.41338655464046509,0.42722110889378551,102,102,false,0,observed-stable
frodo1344,0.42722110889378551,0.44151865568820237,102,102,false,0,observed-stable
frodo1344,0.44151865568820237,0.45629468971108933,102,88,true,0,observed-transition
frodo1344,0.45629468971108933,0.47156522420101821,88,14,true,0,observed-transition
frodo1344,0.47156522420101821,0.48734680830179339,14,14,false,0,observed-stable
frodo1344,0.48734680830179339,0.50365654499726398,14,14,false,0,observed-stable
frodo1344,0.50365654499726398,0.52051210964634831,14,14,false,0,observed-stable
frodo1344,0.52051210964634831,0.53793176913835972,14,14,false,0,observed-stable
frodo1344,0.53793176913835972,0.55593440168939146,14,14,false,0,observed-stable
frodo1344,0.55593440168939146,0.57453951730121466,14,14,false,0,observed-stable
frodo1344,0.57453951730121466,0.59376727890486247,14,14,false,0,observed-stable
frodo1344,0.59376727890486247,0.61363852421181297,14,4,true,0,observed-transition
frodo1344,0.61363852421181297,0.63417478829645235,4,4,false,0,observed-stable
frodo1344,0.63417478829645235,0.65539832693429201,4,4,false,0,observed-stable
frodo1344,0.65539832693429201,0.67733214072123016,4,4,false,0,observed-stable
frodo1344,0.67733214072123016,0.69999999999999996,4,4,false,0,observed-stable
